NAMESPACE,KEY,zh-tw,en,zh-cn
card,SignIn1,手機號登入,Phone-number Login,手机号登录
card,SignIn2,用戶名/郵箱登入,Username/Email Login,用户名/邮箱登录
card,SignIn3,請輸入手機號,Please enter phone number,请输入手机号
card,SignIn4,請輸入密碼,Please enter password,请输入密码
card,SignIn5,遇到問題？,Problem?,遇到问题？
card,SignIn6,忘記密碼,Password forgotten,忘记密码
card,SignIn7,立即登入,Log in now,立即登录
card,SignIn8,立即支付,Pay in now,立即支付
card,SignIn9,我已同意相關服務條款,I've agreed to the related service terms,我已同意相关服务条款
card,SignIn10,沒有帳號，去註冊,Register New Account,没有账号，去注册
card,SignIn11,請輸入用戶名/信箱,Enter Username/Email,请输入用户名/邮箱
card,SignIn12,使用Sixfast app,Use Sixfast app,使用Sixfast app
card,SignIn13,掃碼登入,Scan-code Login,扫码登录
card,SignIn14,其他方式登入,Other login modes,其他方式登录
card,SignIn15,手機號碼註冊,Phone-number Register,手机号注册
card,SignIn16,信箱註冊,Register with e-mail,邮箱注册
card,SignIn17,請輸入驗證碼,Enter VER Code,请输入验证码
card,SignIn18,取得驗證碼,Get VER Code,获取验证码
card,SignIn19,推薦碼(選填),Referral Code (optional),推荐码(选填)
card,SignIn20,請輸入推薦碼,Please enter referral code,请输入推荐码
card,SignIn21,已有帳號,Account owned,已有账号
card,SignIn22,去登入,To Login,去登录
card,SignIn23,修改密碼,Change password,修改密码
card,SignIn24,確認修改,Confirm Change,确认修改
card,SignIn25,立即綁定,Link now,立即绑定
card,SignIn26,下一步,Next step,下一步
card,SignIn27,換綁手機號,Change the linked phone number,换绑手机号
card,SignIn28,綁定信箱,Link e-mail,绑定邮箱
card,SignIn29,換綁信箱,Change the linked e-mail,换绑邮箱
card,SignIn30,綁定手機號,Link phone number,绑定手机号
card,SignIn31,使用者,User,用户
card,SignIn32,SVIP已過期,SVIP expired,SVIP已过期
card,SignIn33,SVIP剩餘1024天,SVIP expires in 1024 days,SVIP剩余1024天
card,SignIn34,會員儲值,VIP Recharge,会员充值
sign,SignIn35,去綁定,To Link,去绑定
sign,SignIn36,Facebook,Facebook,Facebook
sign,SignIn37,去修改,To Change,去修改
sign,SignIn38,換綁,Change Link,换绑
sign,SignIn39,解除綁定,Delink,解除绑定
sign,SignIn40,去認證,To Verify,去认证
sign,SignIn41,遊戲會員(SVIP),Game VIP (SVIP),游戏会员(SVIP)
sign,SignIn42,支援影音+遊戲加速功能,Support video+game speedup,支持影音+游戏加速功能
sign,SignIn43,影音會員(VIP),Video VIP (VIP),影音会员(VIP)
sign,SignIn44,僅支援影音加速功能,Only support video speedup,仅支持影音加速功能
sign,SignIn45,影音會員尊享7大特權,Video members enjoy 7 privileges,影音会员尊享7大特权
sign,SignIn46,訪問/解鎖國內應用,Access/Unlock domestic apps,访问/解锁国内应用
sign,SignIn47,影音、直播、金融、學習、辦公,"Video, livestream, finance, study, and work.",影音、直播、金融、学习、办公
sign,SignIn48,支援PC、行動、Mac、電視,"Support PC, mobile device, Mac, and television.",支持PC、移动、Mac、电视
sign,SignIn49,支援3台設備在線,Support 3-device login simultaneously,支持3台设备在线
sign,SignIn50,全球節點 高速專線,Global nodes and exclusive lines,全球节点 高速专线
sign,SignIn51,無限高速流量,Unlimited high-speed data flow,无限高速流量
sign,SignIn52,支援7*12小時人工客服,Human customer service for 7 *12 hours,支持7*12小时人工客服
sign,SignIn53,熱賣,Hot Sale,热销
sign,SignIn54,推薦,Recommended,推荐
sign,SignIn55,套餐詳情描述套餐詳情描述,Package Details,套餐详情描述套餐详情描述
sign,SignIn56,暫無可用優惠券,No available coupons for now,暂无可用优惠券
sign,SignIn57,卡券兌換,Card&Coupon Exchange,卡券兑换
sign,SignIn58,支付寶支付,Via Alipay,支付宝支付
sign,SignIn59,換綁信箱,Change the linked e-mail,换绑邮箱
sign,SignIn60,Paypal支付,Via Paypal,Paypal支付
sign,SignIn61,請使用支付寶掃碼支付,Please scan the code with Alipay to pay,请使用支付宝扫码支付
sign,SignIn62,請使用微信掃碼支付,Please scan the code with WeChat to pay,请使用微信扫码支付
sign,SignIn63,購買即視為閱讀並同意,"By purchasing it, you acknowledge and agree to ",购买即视为阅读并同意
sign,SignIn64,自動續費協議,Auto-renewal Agreement,自动续费协议
sign,SignIn65,會員服務協議,VIP Agreement,会员服务协议
sign,SignIn66,立即購買,Purchase Now,立即购买
sign,SignIn67,元,Yuan,元
sign,SignIn68,已省,Save xxx,已省
sign,SignIn69,是否有Sixfast帳號,Do you have a Sixfast account?,是否有Sixfast账号
sign,SignIn70,退出將無法使用Sixfast，是否確認,"Close it and can't use the Sixfast service anymore, confirm?",退出将无法使用Sixfast，是否确认
sign,SignIn71,繼續綁定,Continue to link,继续绑定
user,SignIn72,登出登入,Log out,退出登录
user,SignIn73,註冊Sixfast帳號,Register a Sixfast account,注册Sixfast账号
user,SignIn74,用戶名不可輸入特殊字符,User Name can't include special characters.,用户名不可输入特殊字符
user,SignIn75,用戶名不能為空,User Name can't be empty.,用户名不能为空
user,SignIn76,用戶名長度限制6~20個字符,The user name's length is 6~20 characters.,用户名长度限制6~20个字符
user,SignIn77,密碼不可輸入特殊字符,Password can't include special characters.,密码不可输入特殊字符
user,SignIn78,密碼不能為空,Password can't be empty.,密码不能为空
user,SignIn79,密碼長度限制6~18個字符,The password's length is 6~18 characters.,密码长度限制6~18个字符
user,SignIn80,修改密碼成功，請重新登入,"Password changed, please log in again.",修改密码成功，请重新登录
user,SignIn81,綁定成功,Successfully linked,绑定成功
user,SignIn82,用戶名長度限制6~40個字符,The user name's length is 6~40 characters.,用户名长度限制6~40个字符
user,SignIn83,綁定帳號,Link Account,绑定账号
user,SignIn84,該帳號已綁定xxx帳號,This account has been linked to xxx Account.,该账号已绑定xxx账号
user,SignIn85,請先登入帳號再進行換綁操作,Please log in to change the link.,请先登录账号再进行换绑操作
user,SignIn86,請輸入正確的驗證碼,Please enter the correct verification code.,请输入正确的验证码
user,SignIn87,重新發送,Resend,重新发送
user,SignIn88,登入中,Logging in,登录中
user,SignIn89,解除綁定成功,Successfully unlinked,解除绑定成功
user,SignIn90,此帳號已綁定其他Sixfast帳號，請先解綁,This account has linked to a Sixfast account. Please unlink first.,此账号已绑定其他Sixfast账号，请先解绑
user,SignIn91,暱稱最長不超過15個字元哦,The nickname length can't exceed 15 characters.,昵称最长不超过15个字符哦
user,SignIn92,暱稱不能含敏感字彙或特殊字元哦,Nickname can't include sensitive words or special characters.,昵称不能含敏感词汇或特殊字符哦
user,SignIn93,請先綁定手機或信箱,Please link the phone number or email.,请先绑定手机或邮箱
user,SignIn94,實名認證,Real-name Authentication,实名认证
user,SignIn95,已認證,Authenticated,已认证
user,SignIn96,要解除與帳號xxx的綁定嗎,Remove the link to xxx Account?,要解除与账号xxx的绑定吗
user,SignIn97,確定,Confirm,确定
user,SignIn98,取消,Cancel,取消
user,SignIn99,普通,Ordinary,普通
user,SignIn100,圖片大小必須小於10MB,The picture size must be below 10MB.,图片大小必须小于10MB
user,SignIn101,圖片解析度必須小於2560*2560,The picture resolution must be below 2560*2560.,图片分辨率必须小于2560*2560
user,SignIn102,編輯頭像,Edit Avatar,编辑头像
user,SignIn103,重新上傳,Reupload,重新上传
user,SignIn104,註冊成功,Successfully registered,注册成功
user,SignIn105,立即註冊,Register now,立即注册
